tvg-id,tvg-name,channel-id
2436645,האח הגדול,
2299409,כאן 11,
2299410,ערוץ 12,
2299411,ערוץ 13,
2299412,ערוץ 14,
2305576,כאן חינוכית,
2299413,i24,
2305577,ערוץ 24,
2305578,ערוץ הכלכלה,
2299414,ערוץ 9,
2299415,ערוץ הכנסת,
2299416,ספורט 1,
2299417,ספורט 2,
2299418,ספורט 3,
2299419,ספורט 4,
2299420,ספורט 5,
2299421,ספורט 5 ישיר,
2350798,ספורט 5 פלוס,
2299422,ספורט 5 סטארס,
2299423,ספורט 5 גולד,
2299424,ONE 1,
2299425,ONE 2,
2299426,יורוספורט 1,
2299427,יורוספורט 2,
2299428,Edge Sport,
2299429,HOT Cinema 1,
2299430,HOT Cinema 2,
2299431,HOT Cinema 3,
2299432,HOT Cinema 4,
2299433,HOT סינמה ישראלי,
2299434,HOT Comedy,
2299435,HOT 3,
2299436,HOT 8,
2299437,HOT Senior,
2299438,HOT Zone,
2299439,HOT Real,
2299440,HOT משפחה,
2299441,HOT HBO,
2299442,HOT בידור,
2299443,HOT Buzz,
2299444,Partner סרטים,
2299445,Partner סדרות,
2299446,Partner ילדים,
2299447,FreeTV סדרות דרמה,
2299448,FreeTV סדרות קומדיה,
2299449,FreeTV Movies ישראלי,
2299450,FreeTV Movies Action,
2299451,FreeTV Movies Romantic,
2299452,FreeTV Movies Drama,
2299453,FreeTV Movies Comedy,
2299454,FreeTV Movies אימה,
2299455,FreeTV Series Global,
2299456,Free Movies Family,
2299457,FreeTV דוקו,
2299458,FreeTV Lifestyle,
2299459,FreeTV בישול,
2299460,ערוץ קריוקי,
2299461,ערוץ הכוכב הבא,
2299462,ערוץ חתונמי,
2299463,סלקום סרטים,
2299464,סלקום ישראלי,
2299465,סלקום ילדים,
2299466,ערוץ הדרמות הטורקיות+,
2299467,ערוץ הדרמות הטורקיות 2,
2299468,ערוץ הדרמות הטורקיות 3,
2299469,ערוץ הדרמות הספריות 1,
2299470,ערוץ הדרמות הספרדיות 2,
2299471,ערוץ הדרמות ההודיות 1,
2299472,ערוץ הדרמות ההודיות 2,
2299473,Bollywood,
2299474,ויוה +,
2299475,ויוה וינטג,
2299476,ויוה פרמיום,
2299477,ויוה,
2305579,ערוץ ההיסטוריה,
2305580,דיסקברי,
2305581,נשיונל גיאוגרפיק,
2299478,ערוץ דיסני ג'וניור,
2299479,ערוץ דיסני,
2299480,ניקלודיאון,
2299481,ניק ג'וניור,
2299482,TeenNick,
2299483,לולי,
2299484,Junior,
2299485,הופ!,
2299486,בייבי,
2299487,Zoom,
2299488,Zoom Toon,
